time_s,target_x_mm,target_y_mm,target_z_mm,drive_length_command_01_m,drive_length_command_02_m,drive_length_command_03_m,drive_length_command_04_m,drive_length_command_05_m,drive_length_command_06_m,drive_length_command_07_m,drive_length_command_08_m,drive_length_command_09_m,estimated_drive_force_01_N,estimated_drive_force_02_N,estimated_drive_force_03_N,estimated_drive_force_04_N,estimated_drive_force_05_N,estimated_drive_force_06_N,estimated_drive_force_07_N,estimated_drive_force_08_N,estimated_drive_force_09_N
9.975,87.693782674002,0.183369131290363,-18.2943674772769,-0.00010557918260809,0.000647256117827781,0.000633318059086091,0.00115791229063852,0.000199271620184155,-0.000184832138562064,-0.00105233310803043,-0.000846527738011943,-0.00044848592052403,-5.04209932521502,8.57513623834703,27.0704482387652,10.658777751258,-10.4589859428785,-1.95482933907921,-5.61667842604296,1.88384970453142,-25.1156188996859
10,87.6845218097777,0.247006884496248,-18.2764900043868,-0.000105277793060965,0.000651265547557539,0.000622918683281092,0.00116979438640331,0.000196792491676909,-0.000184797279177681,-0.00106451659334234,-0.000848058039234448,-0.000438121404103414,-5.11594867309534,8.79018169075265,25.9124594076123,10.936050519984,-10.40822466482,-1.78751587418254,-5.82010184688866,1.61804297406733,-24.1249435334298
10.025,87.6749504743666,0.309641522623152,-18.258077160346,-0.000105032129241345,0.000655223965360933,0.000612495460177859,0.00118168201756302,0.000194351023065031,-0.000184723009797817,-0.00107664988832168,-0.000849574988425958,-0.000427772450380042,-5.18998084948684,9.00491664833949,24.7533354576018,11.2133444401962,-10.3571694454206,-1.61842192989709,-6.02336359070936,1.35225279708112,-23.1349135277047
10.05,87.6650726358194,0.371253065727177,-18.2391306357999,-0.000104842956840462,0.000659130343111089,0.000602049457323572,0.00119357437219363,0.00019194805578196,-0.000184608923990543,-0.00108873141535318,-0.000851078398893049,-0.000417440533333025,-5.26418964296376,9.21930438821061,23.5932052731338,11.4906359261994,-10.3058232175496,-1.44755195105649,-6.22644628323567,1.08651882933895,-22.1456533220774
10.075,87.6548924179651,0.431821927011094,-18.2196521961293,-0.000104711026756923,0.000662983664259015,0.000591581742041932,0.00120547064000318,0.000189584418740132,-0.000184454627109667,-0.00110075961324624,-0.00085256808299914,-0.000407127114932265,-5.33856881944182,9.43330815136805,22.4321975472779,11.7679015613824,-10.2541889210316,-1.27491100671737,-6.42933274194053,0.820880769663496,-21.1572865405605
10.1,87.6444140949216,0.491328920179871,-18.1996436807868,-0.0001046370748361,0.000666782924195738,0.000581093381221611,0.00121737001226439,0.000187260928112692,-0.000184259736445501,-0.00111273293742831,-0.000854043852308424,-0.000396833644776107,-5.41311212319105,9.64689115890845,21.270440751414,12.0451180959987,-10.2022694982007,-1.10050479069029,-6.63200597280767,0.555378339292271,-20.1699359607237
10.125,87.6336420855226,0.549755266546609,-18.1791070026269,-0.000104621821613637,0.000670527130612428,0.000570585441104471,0.00122927168174562,0.000184978387119027,-0.000184023881370877,-0.001124649860132,-0.000855505517731454,-0.000386561559733593,-5.48781327785999,9.86001662838475,20.1080631048346,12.3222624448383,-10.1500678894798,-0.92433962172287,-6.83444916697833,0.290051261095036,-19.1837234831118
10.15,87.6225809476693,0.607082601885305,-18.1580441472307,-0.000104665972063087,0.000674215303858416,0.000560058987073751,0.00124117484263957,0.000182737585813969,-0.000183746703482427,-0.00113650887057648,-0.000856952889672372,-0.000376312283591324,-5.56266598751101,10.0726477903203,18.9451925443204,12.5993116847959,-10.0975870289909,-0.746422443336561,-7.03664569728486,0.024939238670572,-18.1987701009839
10.175,87.6112353726151,0.66329298302679,-18.1364571722253,-0.000104770215347605,0.000677846477296636,0.000549515083442299,0.00125307869049072,0.000180539300880848,-0.000183427856737098,-0.00114830847514313,-0.000858385778177491,-0.000366087226705197,-5.63766393766561,10.2847479048603,17.7819566937132,12.876243052344,-10.0448298402053,-0.56676082332018,-7.23857911467833,-0.239918064655027,-17.2151958703931
10.2,87.5996101791902,0.71836889419488,-18.1143482065994,-0.000104935224575914,0.000681419697656692,0.000538954793240957,0.00126498242212118,0.000178384295428352,-0.000183067007583831,-0.00116004719754528,-0.000859803993085051,-0.000355887785657125,-5.71280079635923,10.4962802785463,16.6184828335023,13.1530339409179,-9.99179923163845,-0.385362952882149,-7.44023314455869,-0.504481046907872,-16.2331198806201
