time_s,target_error_mm,dynamic_quasi_delta_mm,qdot_norm,qddot_norm,max_force_N,max_force_rate_N_per_s,command_power_proxy_W,robot_drive_power_proxy_W,kinetic_energy_J,elastic_energy_J,drive_energy_J,total_energy_J,damping_power_W
14.0233333333333,0.18212047128217,0.161316489379382,20.8974742812973,2.24294996084709,98.0293841583491,122.120190272718,0.183118511971472,0.177874973661437,1.29767938640267e-05,0.0179134954494425,0.00267728923220058,0.0206037614755071,0.15076200593056
14.0466666666667,0.186221862074221,0.164352355890387,20.8949784210836,2.54017616179833,100.854099296624,119.660470457293,0.190538913168409,0.185277325636991,1.30811418458535e-05,0.018625446036627,0.00280981048423317,0.021448337662706,0.151297427336264
14.07,0.190208036428764,0.166813971646459,20.9971205695186,2.76154292225829,103.613539446356,117.194801291816,0.197787963481566,0.192566096323781,1.30849422318606e-05,0.0194973101703293,0.00294182013995592,0.022452215252517,0.151829263771702
14.0933333333333,0.193211142499175,0.168776055016802,20.9859619854688,2.56557812126593,106.323190023575,114.663632886648,0.204720380969978,0.199465773990127,1.31618210622373e-05,0.0205287942461799,0.00307351352498167,0.0236154695922238,0.151965294960834
14.1166666666667,0.197247402124774,0.171262205594167,20.9147743036679,1.98050840756993,108.964508981066,111.953548881999,0.211245637981126,0.206008792743594,1.32188000557403e-05,0.021717096614628,0.00320513910089282,0.0249354545155766,0.151700420299452
14.14,0.20077237853377,0.173776069170509,20.9133533395401,2.20552309192619,111.547688971402,109.19334019306,0.217564200604071,0.2123566509322,1.31907847180086e-05,0.0230618719617511,0.00333578129548934,0.0264108440419584,0.151374903134161
14.1633333333333,0.204036523415676,0.175468188498657,20.9168481943721,3.02420234079939,114.060198190076,106.433415094138,0.223539947078787,0.218367041684927,1.31466915331965e-05,0.0245625829034707,0.00346502716414493,0.0280407567591488,0.150864012868309
14.1866666666667,0.206929261579382,0.177383090488005,20.7812360046909,5.07392065109697,116.514581675795,103.533442303724,0.229017590701085,0.223904303466827,1.31673584770143e-05,0.026215439060851,0.0035931033447035,0.0298217097640315,0.149870246443515
14.21,0.210796382969698,0.179651020143983,20.6974432121179,3.23585118031072,118.891758830916,100.52934053443,0.234178693240902,0.229137861100018,1.30914449299558e-05,0.0280175235504346,0.00371925111509129,0.0317498661104559,0.148718780036249
14.2333333333333,0.213446194904043,0.181368897183453,20.6506279866136,4.08500535956062,121.205950900735,97.5442427950905,0.238996810866906,0.234042836218079,1.29787355655061e-05,0.0299665965275803,0.00384309242274301,0.0338226676858888,0.147490437607445
14.2566666666667,0.216337417885955,0.182698962406651,20.5215797023485,7.18253030997588,123.443823494687,94.4763498329624,0.243331011010748,0.23846570515315,1.29090083936466e-05,0.0320584992964293,0.00396467921291306,0.036036087517736,0.14589571213466
14.28,0.219106622358428,0.18452057613461,20.3279412156289,6.29400657651321,125.614847226273,91.286842137714,0.247196065372874,0.242443639671172,1.28191821961697e-05,0.0342883297889996,0.00408387850744426,0.0383850274786401,0.143961578436262
14.3033333333333,0.22243049753286,0.186239139783321,20.2343380524881,5.62274552313993,127.70387612778,88.1366470570004,0.250729026720865,0.24609188031346,1.26215820205897e-05,0.0366521632933808,0.00419976914904397,0.0408645540244453,0.142023440694715
14.3266666666667,0.224373034925377,0.187310431544865,20.0830511622368,8.22496923778508,129.7278907556,84.9521201947302,0.253793335656763,0.249286819300404,1.2489489187934e-05,0.0391447889844761,0.00431289611187292,0.0434701745855369,0.139866970755258
14.35,0.227220716450631,0.188544845021429,19.8564227515093,9.31340869763156,131.668308403534,81.6181222575836,0.256333023996555,0.251980522049342,1.23449984514133e-05,0.0417605256217589,0.0044222070996148,0.0461950777198251,0.137344524705729
14.3733333333333,0.22957128276693,0.190066823202775,19.6556152240912,7.82037850533952,133.536736460954,78.2578825306764,0.258458644576443,0.254257442623018,1.21444358471628e-05,0.0444936042728166,0.0045272697136062,0.04903301842227,0.134708721080816
14.3966666666667,0.232096939930458,0.190990376243491,19.4999329694398,9.1004515778681,135.320342921633,74.957415762954,0.260167957368093,0.256110104382568,1.18996671432189e-05,0.0473376979471985,0.00462901958522273,0.0519786171995644,0.132014488616165
14.42,0.233689397412095,0.191785966807513,19.2354950322986,11.3917162802709,137.034749196558,71.5863401544538,0.261339538015264,0.257458220685507,1.17229415474513e-05,0.0502860309025201,0.00472697053341784,0.0550247243774854,0.129010038231226
14.4433333333333,0.236373591262,0.192882237774622,18.9749741774614,10.5593253863311,138.661038795507,68.1351338334861,0.262048598590889,0.258358012807383,1.14865735708085e-05,0.0533321853217556,0.00481982424278459,0.058163496138111,0.125831188482396
14.4666666666667,0.238029253151792,0.193775085067131,18.7465630569116,10.3435361440959,140.214388775454,64.7151655237032,0.262344749711272,0.258826128683853,1.1217472437409e-05,0.0564686998911941,0.00490822065785888,0.0613881380214904,0.122622951987971
