case_id,label,mu,drive_id,active_sections,drive_angle_deg,max_abs_friction_N,mean_abs_friction_N,rms_friction_N,p95_abs_friction_N,abs_friction_impulse_Ns,friction_impulse_share,sliding_dissipation_proxy_J,max_normal_N,mean_normal_N,max_abs_slip_m_per_s,mean_abs_slip_m_per_s,max_wrap_activity
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,5,1 2,160,0.766293523413966,0.0287075719245249,0.0727981602560599,0.136572828005936,0.604391441824285,0.0221053324151918,7.19213242145236e-05,17.3591612547497,3.98776112399908,0.000725233209945796,1.61476133910218e-05,0.965448333559395
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,6,1,200,0.666219754115872,0.0296175132340903,0.0704275516889421,0.133968192383392,0.637154419852458,0.0233036229105674,9.96662167090037e-06,19.7461043754226,3.60105130740816,0.000246641022409782,9.46966385513248e-06,0.46347073079979
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,7,1 2 3,240,1.61004720762561,0.0742741392796385,0.157670914598979,0.311526909487453,1.52507465425043,0.0557788874184466,0.000892026025379203,58.3873323836057,10.9101028173617,0.00569059173650862,0.00010151171460873,1.62218371167085
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,8,1 2,280,1.09743693424302,0.0855693907222201,0.155725115330873,0.331581882860744,1.8161377881922,0.066424384499229,0.000156176126552756,39.4340857721095,8.20782856100499,0.00199148300286968,3.53609717986138e-05,0.965448333559395
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,9,1,320,3.88934502369903,0.337809740160414,0.685510281665378,1.48890710330755,7.29765714410335,0.26690837404247,0.000300661305533429,62.0328309367508,14.186352395743,0.000717193617534794,3.33975228823629e-05,0.46347073079979
balanced_pareto_mu0_08,balanced_pareto,0.08,1,1 2 3,0,0.770302473382917,0.0254185645001281,0.0758769927665005,0.106472411586178,0.477100867927672,0.0249027457098143,0.000170455899005768,29.9244879877193,6.23559875449419,0.00310222150035753,3.79334451254881e-05,1.62231121435671
balanced_pareto_mu0_08,balanced_pareto,0.08,2,1 2,40,0.442931123116579,0.0279149801456412,0.0554162176399221,0.101254366074937,0.583172128771274,0.0304392387524302,3.72323952252482e-05,35.0100459351275,6.05359617930029,0.00153283539672355,2.62273921219846e-05,0.965595178376775
balanced_pareto_mu0_08,balanced_pareto,0.08,3,1,80,4.17344557392202,0.365575075807679,0.735667041150402,1.82177553239608,7.78099379492314,0.406136569581736,0.000394886893226162,77.3712317017798,16.7555265279489,0.000736172686470195,4.50208069598677e-05,0.463750947635941
balanced_pareto_mu0_08,balanced_pareto,0.08,4,1 2 3,120,1.00287044316797,0.096555525562625,0.170924376557438,0.39064755594236,1.94855423349077,0.101706691059214,0.000860317642777747,87.9824008774625,16.9575471773077,0.00877422999723971,0.000131129311706471,1.62231121435671
balanced_pareto_mu0_08,balanced_pareto,0.08,5,1 2,160,0.47479469241973,0.0215269633187784,0.0511996981458948,0.114707458007123,0.461591408485913,0.0240932143286361,5.46419592393207e-05,17.1320912787857,3.85162162402054,0.000739651166513689,1.94043843955248e-05,0.965595178376775
balanced_pareto_mu0_08,balanced_pareto,0.08,6,1,200,0.478689690693404,0.0206574360400446,0.0477872706133393,0.0827588655592352,0.445596541749732,0.0232583466397057,6.99761887767404e-06,19.7208396483154,3.60478808332426,0.000362713565045515,1.02690755510537e-05,0.463750947635941
balanced_pareto_mu0_08,balanced_pareto,0.08,7,1 2 3,240,1.00621805241591,0.0520124356381265,0.109908833253921,0.213252206612414,1.03076811253337,0.0538019482205073,0.000675614447757999,58.2579235684509,11.1605989240668,0.00567200849688217,0.000116594384739969,1.62231121435671
balanced_pareto_mu0_08,balanced_pareto,0.08,8,1 2,280,0.788059321051446,0.0609811975017706,0.109095223641457,0.230467509558013,1.29926649095019,0.0678164832815193,0.000128238806928662,39.5310839790071,7.95675252480834,0.00194182786481508,4.26784688069566e-05,0.965595178376775
balanced_pareto_mu0_08,balanced_pareto,0.08,9,1,320,2.58744503144044,0.241757586385757,0.49610044981532,1.21248848091091,5.13152124318452,0.267844762426437,0.000215624603179906,67.4572451121101,13.659409842885,0.000588484809832412,3.5987160527437e-05,0.463750947635941
balanced_pareto_mu0_12,balanced_pareto,0.12,1,1 2 3,0,1.15890227533852,0.0383333555386252,0.116922831088662,0.166594714818456,0.723476549835074,0.0254357828127022,0.000291147265129739,29.9518758138963,6.23933340000672,0.0030944828525255,3.93379528595984e-05,1.62219924033704
balanced_pareto_mu0_12,balanced_pareto,0.12,2,1 2,40,0.61633219580521,0.0413910204779384,0.082339106211997,0.149011407218534,0.864112939670083,0.0303802370154283,5.25943679243633e-05,34.9016315352439,6.05795838529581,0.00156217229795674,2.41883164669638e-05,0.965464171209078
balanced_pareto_mu0_12,balanced_pareto,0.12,3,1,80,6.29362331166556,0.542966711506284,1.10336608492188,2.56204540927889,11.5473410363716,0.405978132577078,0.000586328654012687,77.8046700362236,16.7865817308611,0.000733197670483752,4.41879775268474e-05,0.463690998141358
balanced_pareto_mu0_12,balanced_pareto,0.12,4,1 2 3,120,1.53759970561355,0.146228889840015,0.26051128353456,0.603194274153208,2.94484689763087,0.10353408983591,0.00123282798526382,88.1484692077558,16.9664558903192,0.00875640653813819,0.000122859267822605,1.62219924033704
balanced_pareto_mu0_12,balanced_pareto,0.12,5,1 2,160,0.713149847953766,0.0301737061701068,0.0737499141406504,0.148100602163845,0.648824004196016,0.0228111698411784,8.23038984731044e-05,17.1381611947946,3.85297235400655,0.000718577694032409,1.89634564097197e-05,0.965464171209078
balanced_pareto_mu0_12,balanced_pareto,0.12,6,1,200,0.683129886921457,0.0306669884425456,0.0704917823316427,0.12350023900643,0.661301601411088,0.0232498536559604,1.01365399258777e-05,19.6720776393081,3.60756404202651,0.000358165526181605,9.93019823217057e-06,0.463690998141358
balanced_pareto_mu0_12,balanced_pareto,0.12,7,1 2 3,240,1.54870580228499,0.0777184138248216,0.165470318758603,0.330947653908441,1.54084076674078,0.0541724415265573,0.000926842568764412,58.3979857298814,11.1665982416064,0.00566192368561268,0.000103982173555074,1.62219924033704
balanced_pareto_mu0_12,balanced_pareto,0.12,8,1 2,280,1.10860615100821,0.0885312313132205,0.160299624849238,0.343167101367804,1.88600212144199,0.0663075262857239,0.000179383307103928,39.3800958969394,7.96331555550495,0.00200537407070353,4.02694741223987e-05,0.965464171209078
balanced_pareto_mu0_12,balanced_pareto,0.12,9,1,320,3.92447901638076,0.359593483209214,0.745481709436172,1.71430097427885,7.62651274560406,0.268130766449461,0.000321605778486271,67.736247324384,13.6843145284563,0.000586721168384016,3.56081078521747e-05,0.463690998141358
